Date/Time,ZONE_F1:Zone Mean Air Temperature [C](Hourly),ZONE_F2:Zone Mean Air Temperature [C](Hourly),ZONE_F3:Zone Mean Air Temperature [C](Hourly) 
 01/04  19:00:00,24.493512743029257,25.163428136848815,25.483847988998853 
 01/04  20:00:00,24.21870703542206,24.99995369914549,25.190928926303073 
 01/04  21:00:00,24.00268819557172,24.818784721488942,24.911920454137437 
 01/04  22:00:00,23.823679950896867,24.665364098160467,24.687175546103706 
 01/04  23:00:00,23.204296477172306,24.165746575752898,24.07042640014172 
 01/04  24:00:00,22.758622105129785,23.885468785429573,23.65403256509343 
 01/05  01:00:00,22.51904506790744,23.70965801404251,23.38622147613532 
 01/05  02:00:00,22.28734111684253,23.5232565398974,23.110783168324655 
 01/05  03:00:00,22.05154339307639,23.325960899416884,22.825128589763292 
 01/05  04:00:00,21.809304053333697,23.119357451150613,22.530765818113284 
 01/05  05:00:00,21.560510167445337,22.906401521386357,22.229666950957593 
 01/05  06:00:00,21.355900502624767,22.72187331778463,21.96548271572675 
 01/05  07:00:00,21.226777580424418,22.57376587974546,21.753335346830898 
 01/05  08:00:00,21.237292288778725,22.51253911242803,21.676229943032933 
 01/05  09:00:00,22.098148509975406,23.01500150553358,22.304136985822065 
 01/05  10:00:00,22.385279860028866,23.067547863621677,22.37369224147885 
 01/05  11:00:00,22.715679624476362,23.24076071114502,22.629347837531938 
 01/05  12:00:00,23.11835163545613,23.49022204429058,22.951589652823795 
 01/05  13:00:00,23.20413201658895,23.53981823468794,23.036029289165214 
 01/05  14:00:00,23.398517030421587,23.675465769836258,23.29079493619559 
 01/05  15:00:00,23.528939588488658,23.756532569838456,23.512107250554163 
 01/05  16:00:00,23.252127660374978,23.593387675646383,23.287580004133297 
 01/05  17:00:00,23.029612786212155,23.492339129592423,23.141102537106768 
 01/05  18:00:00,22.772866501507664,23.34482096270402,22.969631912019498 
 01/05  19:00:00,22.56220602673676,23.19384911348246,22.813786396279596 
 01/05  20:00:00,22.464473326775888,23.105973470610813,22.72889771792147 
 01/05  21:00:00,22.38771505757454,23.034977469376983,22.645235397639254 
 01/05  22:00:00,22.32318867797185,22.97287083408124,22.564142355409484 
 01/05  23:00:00,21.789472311826263,22.51184165370381,22.07335215801714 
 01/05  24:00:00,21.434754590894322,22.280345735836896,21.796480586409224 
 01/06  01:00:00,21.31702194371716,22.182102604279347,21.667722114480014 
 01/06  02:00:00,21.217667722677092,22.0829565769061,21.548041996714137 
 01/06  03:00:00,21.113212082915613,21.97465883845164,21.421525688622935 
 01/06  04:00:00,20.988976391191212,21.85119406530793,21.279149224849203 
 01/06  05:00:00,20.860664124165243,21.725474109466326,21.13435594408005 
 01/06  06:00:00,20.74252333671385,21.606642427550543,20.99752155336609 
 01/06  07:00:00,20.626781169419747,21.487067011516846,20.860614401544485 
 01/06  08:00:00,20.61705181149313,21.441320757982293,20.83128317543847 
 01/06  09:00:00,21.351287608973625,21.92514122127803,21.449108917911072 
 01/06  10:00:00,22.314811300367545,22.485866995241444,22.170795085045032 
 01/06  11:00:00,23.105796356290266,22.946833283433783,22.995794373559477 
 01/06  12:00:00,23.54943487150849,23.242188255405,23.578267414299464 
 01/06  13:00:00,23.768108234233992,23.43037293707347,23.932740374068945 
 01/06  14:00:00,24.073793738325758,23.69285403066337,24.378206527462172 
 01/06  15:00:00,24.268643232866793,23.879054376302758,24.72747705658934 
 01/06  16:00:00,24.179790616726727,23.891655989901775,24.771558547379968 
 01/06  17:00:00,23.913484769880682,23.821938190365163,24.609791375987893 
 01/06  18:00:00,23.525028510999267,23.67530869469697,24.292103893250015 
 01/06  19:00:00,23.208034347386427,23.534126519113464,23.9800670322374 
 01/06  20:00:00,23.050493131294367,23.465960105116388,23.81803384163914 
 01/06  21:00:00,22.905203333784744,23.395412107238872,23.66274608565028 
 01/06  22:00:00,22.767077679521392,23.322058416860884,23.503224427984343 
 01/06  23:00:00,22.204674510663484,22.842803137399294,22.89944055556329 
 01/06  24:00:00,21.769324199624183,22.520430762112444,22.466508545050356 
 01/07  01:00:00,21.53830613967131,22.366057450960106,22.226424143884188 
 01/07  02:00:00,21.30378666015271,22.196419581070444,21.97511790352027 
 01/07  03:00:00,21.084056859399467,22.034639708597485,21.73434922075014 
 01/07  04:00:00,20.90108964332825,21.88983271755879,21.511498296754898 
 01/07  05:00:00,20.72281724420474,21.73886970083254,21.281791060147416 
 01/07  06:00:00,20.54274075499041,21.580348424581825,21.048074179956387 
 01/07  07:00:00,20.345587446175713,21.4060418245817,20.799422092302088 
 01/07  08:00:00,20.376056852555664,21.380704925267043,20.760549735124993 
 01/07  09:00:00,21.053652848411847,21.673281241960616,21.181041980939774 
 01/07  10:00:00,21.812480991830544,21.975232204862206,21.616674047805073 
 01/07  11:00:00,22.427686754909054,22.294676961511087,22.033545833600098 
 01/07  12:00:00,22.82658281589189,22.60374251290344,22.424224465666008 
 01/07  13:00:00,23.07380017465336,22.818645114251343,22.77194672105391 
