Date/Time,ZONE_F1:Zone Mean Air Temperature [C](Hourly),ZONE_F2:Zone Mean Air Temperature [C](Hourly),ZONE_F3:Zone Mean Air Temperature [C](Hourly) 
 01/01  01:00:00,26.332882430213846,28.038485941472114,27.34736339463447 
 01/01  02:00:00,26.08218510998202,27.82224931878339,27.07304669390509 
 01/01  03:00:00,25.82849113575088,27.59614471023709,26.792020236619493 
 01/01  04:00:00,25.590500570755115,27.375352906704126,26.521020893788467 
 01/01  05:00:00,25.350765911543554,27.148969098293353,26.24464093174582 
 01/01  06:00:00,25.141468900955946,26.942659531659235,25.99141335835288 
 01/01  07:00:00,24.974872484135563,26.756579366647685,25.766833414440246 
 01/01  08:00:00,25.298990228189997,26.881302576831647,26.017545489982048 
 01/01  09:00:00,26.910680930762894,27.6540913283932,27.16176749879822 
 01/01  10:00:00,28.69044062166732,28.427217193802996,28.30542399475528 
 01/01  11:00:00,29.578785439491003,28.94841922721685,29.204998983743693 
 01/01  12:00:00,29.986658316647333,29.309750067680405,29.791074293694884 
 01/01  13:00:00,30.35332315717728,29.63181339867778,30.2357048040394 
 01/01  14:00:00,30.806995176675787,30.0424810865991,30.827904439678047 
 01/01  15:00:00,31.280288954758877,30.423031334524698,31.381858946255377 
 01/01  16:00:00,31.302542982375705,30.582069743050226,31.537508749246438 
 01/01  17:00:00,30.79123932594452,30.536427976014757,31.27411688854255 
 01/01  18:00:00,29.640746245388044,30.165270315222312,30.420613223515346 
 01/01  19:00:00,28.55514365003242,29.65214311296591,29.479635471548047 
 01/01  20:00:00,28.236128990081454,29.492975580679445,29.19762232136845 
 01/01  21:00:00,28.008423876395174,29.343106492476057,28.96978720118809 
 01/01  22:00:00,27.78515326846319,29.17594854629828,28.73683074143893 
 01/01  23:00:00,27.179775362104643,28.715651904840477,28.172989198195147 
 01/01  24:00:00,26.742124398054358,28.42750596944557,27.785077390551823 
 01/02  01:00:00,26.466192252223816,28.203633326482468,27.49328744814955 
 01/02  02:00:00,26.195005633182006,27.971877384122493,27.20012254768949 
