Date/Time,ZONE_F1:Zone Mean Air Temperature [C](Hourly),ZONE_F2:Zone Mean Air Temperature [C](Hourly),ZONE_F3:Zone Mean Air Temperature [C](Hourly) 
 01/01  01:00:00,24.053534024140465,25.31110145595533,24.958455227030896 
 01/01  02:00:00,23.84089390547182,25.142699888253304,24.722344100011345 
 01/01  03:00:00,23.627882108899417,24.96582122972274,24.480399897219247 
 01/01  04:00:00,23.431161945861902,24.793383868698136,24.24804331137015 
 01/01  05:00:00,23.233157336214546,24.614116143561542,24.01081044351241 
 01/01  06:00:00,23.065983498252457,24.454086771603194,23.797898614115745 
 01/01  07:00:00,22.943059086295268,24.31685093870571,23.616531324136155 
 01/01  08:00:00,23.1641834071226,24.411396290290575,23.765048612170936 
 01/01  09:00:00,24.4387643338593,25.160866100174157,24.71277336530951 
 01/01  10:00:00,25.773137233100645,25.870752078385166,25.67121355289337 
 01/01  11:00:00,26.427554015531708,26.253099656712,26.371303980007937 
 01/01  12:00:00,26.771900028611807,26.510491730632886,26.823206399205134 
 01/01  13:00:00,27.058071264406934,26.748746745981272,27.208059309528515 
 01/01  14:00:00,27.405145934485024,27.046291319911596,27.70394734303727 
 01/01  15:00:00,27.74524100766658,27.323500045545476,28.17580027876523 
 01/01  16:00:00,27.78596990623577,27.423259492082277,28.33438388179318 
 01/01  17:00:00,27.45535943683572,27.354790396814735,28.166353411308663 
 01/01  18:00:00,26.702187098605794,27.067274811892563,27.57791567751034 
 01/01  19:00:00,26.01800464328034,26.757011318090253,26.951355978123075 
 01/01  20:00:00,25.76886018474836,26.63822290623333,26.692667904697522 
 01/01  21:00:00,25.588395796550913,26.500288100217823,26.47767588971692 
 01/01  22:00:00,25.409986125203655,26.352786071522612,26.27277021809162 
 01/01  23:00:00,24.802241458153517,25.863038356501846,25.686573548027614 
 01/01  24:00:00,24.371285279313902,25.586185476320793,25.29734993850095 
 01/02  01:00:00,24.133428247428178,25.412056527933558,25.04713669085797 
 01/02  02:00:00,23.902665239201966,25.230106957626088,24.79401366340879 
 01/02  03:00:00,23.709820538159786,25.06867495641582,24.568373321945817 
 01/02  04:00:00,23.569985386280088,24.930813481286137,24.37691746954542 
 01/02  05:00:00,23.447266567945558,24.796682764335696,24.195107263369483 
 01/02  06:00:00,23.326379358111943,24.65952857198155,24.01506604020536 
 01/02  07:00:00,23.176018704429254,24.503823837929957,23.819060955553432 
