Date/Time,ZONE_F1:Zone Mean Air Temperature [C](Hourly),ZONE_F2:Zone Mean Air Temperature [C](Hourly),ZONE_F3:Zone Mean Air Temperature [C](Hourly) 
 01/01  01:00:00,25.19911926353512,26.686015268182352,26.163034399197798 
 01/01  02:00:00,24.967615841264013,26.493605995885318,25.90714909836128 
 01/01  03:00:00,24.735064919135514,26.29169339716986,25.64517846136517 
 01/01  04:00:00,24.518959804203362,26.09475542971699,25.39304123525227 
 01/01  05:00:00,24.300504198858533,25.89156761673666,25.136733373428235 
 01/01  06:00:00,24.11190872685972,25.708036760878898,24.90430854892479 
 01/01  07:00:00,23.966632334138037,25.547300021467862,24.700892766889183 
 01/01  08:00:00,24.239596232130367,25.657778486175324,24.900855357736297 
 01/01  09:00:00,25.680031455913216,26.4183932952087,25.949218063356838 
 01/01  10:00:00,27.236381056636738,27.17396882979142,27.005284662797152 
 01/01  11:00:00,28.005282942561664,27.62201609920411,27.812156626111303 
 01/01  12:00:00,28.37397843707879,27.930736406695846,28.330020398180565 
 01/01  13:00:00,28.69888712384761,28.211800871318246,28.745144008363717 
 01/01  14:00:00,29.098828972755022,28.566268776092492,29.290419917451892 
 01/01  15:00:00,29.505884490875395,28.8952577151277,29.803831042896544 
 01/01  16:00:00,29.53942790972388,29.02464246988604,29.959657952777274 
 01/01  17:00:00,29.140620166998453,28.965380764967506,29.740135359283975 
 01/01  18:00:00,28.189550596331358,28.638153483757872,29.01878835504982 
 01/01  19:00:00,27.312852856821156,28.215081364808515,28.223180917183154 
 01/01  20:00:00,27.004311987492255,28.042309582621044,27.930134068049284 
 01/01  21:00:00,26.799989363572433,27.90969534581304,27.721288446366383 
 01/01  22:00:00,26.600625662516478,27.763260030277078,27.50674914709325 
 01/01  23:00:00,25.995990643788865,27.29685932001011,26.936757360614337 
 01/01  24:00:00,25.563019429642434,27.018387015109038,26.55302927966807 
 01/02  01:00:00,25.306281376753343,26.819979472169667,26.280914091664428 
 01/02  02:00:00,25.055559442176417,26.612944333740874,26.007190364383252 
 01/02  03:00:00,24.842765687880615,26.425566596287606,25.76090540707189 
 01/02  04:00:00,24.6807182308712,26.261035620673532,25.5470379277313 
 01/02  05:00:00,24.533433048968107,26.10068955303119,25.343866732790165 
 01/02  06:00:00,24.3887803711959,25.938475657624252,25.141903824417575 
 01/02  07:00:00,24.216108523377393,25.758770268736512,24.924862562846158 
 01/02  08:00:00,24.120221427042296,25.627251906252777,24.789754336794307 
 01/02  09:00:00,24.80749400112739,26.027792392295485,25.360598633934902 
 01/02  10:00:00,25.90700448678772,26.60715575824629,26.214397763636185 
 01/02  11:00:00,26.972068069973137,27.19519445017287,27.119688402374607 
 01/02  12:00:00,27.6357922396283,27.586978566735873,27.88818751721066 
 01/02  13:00:00,27.782430753196202,27.722226365640914,28.150797409285932 
 01/02  14:00:00,27.795300149185177,27.829289210841317,28.302082857517043 
 01/02  15:00:00,28.104602609392394,28.08813855491922,28.717895521016224 
 01/02  16:00:00,27.936129833651236,28.062982286234607,28.657521975064903 
 01/02  17:00:00,27.48412174872993,27.913422612958623,28.296182542942596 
 01/02  18:00:00,26.864633549545005,27.649927390658306,27.766343955843862 
 01/02  19:00:00,26.367668344366635,27.373306443214705,27.3071834721205 
 01/02  20:00:00,26.136016472702206,27.19757090456797,27.08958704559134 
 01/02  21:00:00,25.951700332577147,27.057502854350638,26.900591123662387 
 01/02  22:00:00,25.789604945355286,26.92976402719676,26.72049776093918 
 01/02  23:00:00,25.20946826392081,26.466279088631012,26.171452355031846 
 01/02  24:00:00,24.794236249040573,26.1944642997341,25.805823894691592 
 01/03  01:00:00,24.57266842701451,26.01862449711443,25.563193753517442 
 01/03  02:00:00,24.35894714318009,25.83497395288694,25.31994489770403 
 01/03  03:00:00,24.151757596674347,25.649872893183925,25.077699303785142 
 01/03  04:00:00,23.953940151729157,25.465113343928962,24.83732652539922 
 01/03  05:00:00,23.752939074015035,25.274417102196242,24.591129675436363 
 01/03  06:00:00,23.591209267401997,25.11117230334405,24.37709139639631 
 01/03  07:00:00,23.489099214272553,24.982032790107247,24.20735548520861 
 01/03  08:00:00,23.55787642506427,24.960288916467643,24.210023149415818 
 01/03  09:00:00,24.47176139553735,25.497716818032266,24.937627950585078 
 01/03  10:00:00,26.04581285284995,26.369074001965004,26.19394024164077 
 01/03  11:00:00,27.129228586734417,26.94747662407355,27.229982735627566 
 01/03  12:00:00,27.63320659784152,27.29618592453329,27.89250461950265 
 01/03  13:00:00,27.8363717497036,27.492506857661592,28.2419204278631 
 01/03  14:00:00,27.9766760679541,27.68521177847448,28.53805219114664 
 01/03  15:00:00,28.21086889545647,27.923117132888787,28.88469853737128 
 01/03  16:00:00,28.036618178897776,27.930542700579764,28.82342229363769 
 01/03  17:00:00,27.318331118120426,27.68490272764334,28.25419647279943 
 01/03  18:00:00,26.78495073800684,27.511316800006774,27.820721516618057 
 01/03  19:00:00,26.37047380690562,27.31441788180235,27.45579033852892 
 01/03  20:00:00,26.121509290267568,27.140157507181236,27.193986537958338 
 01/03  21:00:00,25.91664741283601,26.96716640259951,26.9777848231944 
 01/03  22:00:00,25.76312535603062,26.844417485803284,26.805647085375888 
 01/03  23:00:00,25.19084147708566,26.383548414319254,26.253761287849827 
 01/03  24:00:00,24.787802681685648,26.12352913521486,25.888845130724988 
 01/04  01:00:00,24.584410599053825,25.96706039898951,25.66461164734747 
 01/04  02:00:00,24.390617423501077,25.80358372368761,25.439169978595782 
 01/04  03:00:00,24.203404991832045,25.63841076666723,25.21567623608849 
 01/04  04:00:00,24.019524543335184,25.470042261476582,24.991724090141027 
 01/04  05:00:00,23.834943651293454,25.297973009675008,24.765615255293184 
 01/04  06:00:00,23.676753731926663,25.142179328776017,24.558864381687634 
 01/04  07:00:00,23.549605105999305,25.00033656777562,24.371207155603532 
 01/04  08:00:00,23.568701231996226,24.94795501565384,24.32982087860453 
 01/04  09:00:00,24.347535359839853,25.407479437262513,24.940261840932372 
 01/04  10:00:00,25.46841041790387,26.02618375230321,25.764614957010657 
 01/04  11:00:00,26.789852572557812,26.741923503589735,26.95399802679693 
 01/04  12:00:00,27.15297346572806,26.98996265040108,27.49085008117759 
 01/04  13:00:00,27.228798799886764,27.12587262189225,27.732324418854922 
 01/04  14:00:00,27.35392351607293,27.29945773000165,27.99111122167093 
 01/04  15:00:00,27.851220222990516,27.655621348020027,28.546982735969955 
 01/04  16:00:00,28.072269991762532,27.810610954573797,28.773553631956133 
 01/04  17:00:00,27.666508428882423,27.69113015351908,28.479081868640513 
 01/04  18:00:00,26.75265873515363,27.32351191998439,27.72075245979316 
 01/04  19:00:00,26.004339480074012,26.921854389092246,27.01861180729292 
 01/04  20:00:00,25.69647897421504,26.711062055493272,26.702075616597185 
 01/04  21:00:00,25.456503564405942,26.541391012010735,26.443788386536475 
 01/04  22:00:00,25.251325618120212,26.386111020244375,26.206457106969303 
 01/04  23:00:00,24.633160079858943,25.906822583056734,25.605687378996244 
 01/04  24:00:00,24.187202277751133,25.620207956104494,25.193014921686213 
 01/05  01:00:00,23.92363907596519,25.40992293830116,24.890349067184033 
 01/05  02:00:00,23.665760429496036,25.18998305985017,24.584367471736474 
 01/05  03:00:00,23.404140410860496,24.961656778038666,24.270205825522865 
 01/05  04:00:00,23.136915356354322,24.72557394312888,23.94766517893017 
 01/05  05:00:00,22.86547580370025,24.481526285330347,23.620038406511355 
 01/05  06:00:00,22.64031371247873,24.26618101571809,23.329917548150405 
 01/05  07:00:00,22.485953232801652,24.087098565164915,23.091618251577962 
 01/05  08:00:00,22.50691710993043,24.018346629088278,23.03772110814265 
 01/05  09:00:00,23.48923224333104,24.54445928660125,23.78660666106996 
 01/05  10:00:00,23.771489372208496,24.56970643910771,23.85261284958382 
 01/05  11:00:00,24.20021704565798,24.782908479001087,24.210080301574152 
 01/05  12:00:00,24.721981249205946,25.06067924813109,24.65164430748626 
 01/05  13:00:00,24.808984307450864,25.1414627667521,24.735527339324328 
 01/05  14:00:00,25.04325714483643,25.320844803924086,25.016043939984506 
 01/05  15:00:00,25.219301221334092,25.437453530976306,25.233219701648988 
 01/05  16:00:00,24.79794203442715,25.21746453962234,24.86882653452429 
 01/05  17:00:00,24.443717235163135,25.040969366410543,24.644493347011924 
 01/05  18:00:00,24.090627849951673,24.84048815074997,24.389220263240162 
 01/05  19:00:00,23.81135959557015,24.669965271101812,24.17141624665417 
 01/05  20:00:00,23.684225011434762,24.57347417912634,24.05673070412913 
 01/05  21:00:00,23.58309166818286,24.48142348083796,23.948212857767885 
 01/05  22:00:00,23.494971771303696,24.39396078387473,23.843534713541175 
 01/05  23:00:00,22.964115232711613,23.95180707760141,23.35722021163888 
 01/05  24:00:00,22.61596136018974,23.721283276506668,23.0768180017901 
 01/06  01:00:00,22.479791261352133,23.59677077157486,22.925783185476718 
 01/06  02:00:00,22.35887518698103,23.47177458159461,22.78395626083011 
 01/06  03:00:00,22.232670254212604,23.33758541937868,22.635395454047256 
 01/06  04:00:00,22.08710498438175,23.188699620098298,22.471027656345264 
 01/06  05:00:00,21.938118553384637,23.038171482609624,22.304513765023735 
 01/06  06:00:00,21.79978803085337,22.89494657953098,22.146269005982447 
 01/06  07:00:00,21.66376883883998,22.751086305639586,21.98796496744532 
 01/06  08:00:00,21.67202876867668,22.700923482502436,21.98059711538946 
 01/06  09:00:00,22.580753486100196,23.246258911029894,22.750208850642636 
 01/06  10:00:00,23.70613429448384,23.834124909398085,23.580831094293323 
 01/06  11:00:00,24.774790715373918,24.419717860528845,24.629937651801157 
 01/06  12:00:00,25.332225865072424,24.802658737814358,25.370574018837182 
 01/06  13:00:00,25.577968030324207,25.04529374231038,25.769557048626304 
 01/06  14:00:00,25.948587797350548,25.376565148590988,26.259987763648102 
 01/06  15:00:00,26.18119090571131,25.620252745082784,26.63336037296515 
 01/06  16:00:00,26.06288825409014,25.65469448516382,26.61846010922152 
 01/06  17:00:00,25.669400034739144,25.567861738465986,26.32973413537602 
